AFF_LOVE_POINT	Love points: %d%%	
SKILL_INC_ATKSPD	Attack speed raised
SKILL_INC_MOVSPD	Moving speed raised
SKILL_INMA	SKILL_INMA Not used anymore	
SKILL_JEOJU	Curse	
SKILL_JEONGEOP	Healing	
SKILL_JEONGWI	Battle Flush	
SKILL_JEONSINBANGEO	Full Defence	
SKILL_JEONSINGONGGYEOK	Full Attack	
SKILL_JEUNGCHE	SKILL_JEUNGCHE Not used anymore	
SKILL_JEUNGHON	SKILL_JEUNGHON Not used anymore	
SKILL_JEUNGRYEOK	Attack +	
SKILL_JEUNGSOK	Speed +	
SKILL_JIGAM	SKILL_JIGAM Not used anymore	
SKILL_JIPJUNG	SKILL_JIPJUNG Not used anymore	
SKILL_JUMAGAP	Enchanted Armour	
SKILL_JUMAGEOM	SKILL_JUMAGEOM Not used anymore	
SKILL_KWAEGEOM	SKILL_KWAEGEOM Not used anymore	
SKILL_KWAESOK	Speed	
SKILL_LEGBOUND	SKILL_LEGBOUND Not used anymore	
SKILL_MUSA	SKILL_MUSA Not used anymore	
SKILL_MUYEONG	Ghost of the Flame	
SKILL_NEED_EMPTY_BOTTLE	I do not have an Empty Bottle.	
SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle	
SKILL_ONLY_FOR_GUILD_WAR	You can use this Skill during a Guild War only.	
SKILL_PABEOP	Neutralize Spell	
SKILL_POWERFUL_STRIKE	Dazing Attack	
SKILL_SEOMGWANG	Lightning Bomb	
SKILL_SINCHAK	SKILL_SINCHAK Not used anymore	
SKILL_SLEEP	Sleep	
SKILL_SLOW	Slow	
SKILL_STUN	Daze	
SKILL_SUHO	Guard	
SKILL_SUMMON_DESCRIPTION	Chance of the Evocation: %d%%	
SKILL_TOOLTIP_INT	Intelligence	
SKILL_TOOLTIP_LEVEL	Level	
SKILL_TOXICDIE	Poisoning	
SKILL_TOXICPOWER	Poison attack value increased	
SKILL_TUSOK	Ghost Hit	
SKILL_WONSIN	SKILL_WONSIN Not used anymore	
SKILL_YONGSIN	SKILL_YONGSIN Not used anymore	
STAT_MINUS_CON	Vitality Adjustment (Remaining chance: %d)
STAT_MINUS_DEX	Dexterity Adjustment (Remaining Chance: %d)
STAT_MINUS_INT	Intelligence Adjustment (Rest of Chance: %d)	
STAT_MINUS_STR	Strength Adjustment (Rest of Chance: %d)	
STAT_TOOLTIP_CON	Increases HP and defence
STAT_TOOLTIP_DEX	Increases attack and evasion
STAT_TOOLTIP_INT	Increases SP, magic attack and defence
STAT_TOOLTIP_STR	Increases attack value and damage
SYMBOLLIST_TITLE	Register Guild flag	
SYSTEM_OPTION_CPU_TILING_1	CPU Tiling Mode can upgrade the speed of a weaker PC.	
SYSTEM_OPTION_CPU_TILING_2	If there are problem with the graphics choose either ,Systemoption‘ or ,CONFIG.exe‘	
SYSTEM_OPTION_CPU_TILING_3	and change to GPU Tiling Mode.	
SYSTEM_OPTION_GPU_TILING_1	GPU Tiling Mode can run slow on a weaker PC.
SYSTEM_OPTION_GPU_TILING_2	If there are problems with the graphics choose either 'System Options' or 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	and change to GPU Tiling Mode.
SYSTEM_OPTION_TILING_EXIT	To change to Tiling mode, the game has to be restarted.
TARGET_BUTTON_ACCEPT_FIGHT	Agree	
TARGET_BUTTON_AVENGE	Revenge	
TARGET_BUTTON_BUILDING_DESTROY	Destroy	
TARGET_BUTTON_DISMOUNT	Dismount	
TARGET_BUTTON_EMOTION_ALLOW	Emotions	
TARGET_BUTTON_EXCHANGE	Trading	
TARGET_BUTTON_EXCLUDE	Exclude	
TARGET_BUTTON_EXIT_OBSERVER	End Observer Mode	
TARGET_BUTTON_FIGHT	Duel	
TARGET_BUTTON_FRIEND	Friend	
TARGET_BUTTON_INVITE_GUILD	Guild Invitation	
TARGET_BUTTON_INVITE_PARTY	Group Invitation	
TARGET_BUTTON_LEAVE_PARTY	Leave Group	
TARGET_BUTTON_REQUEST_ENTER_PARTY	Join Group	
TARGET_BUTTON_VIEW_EQUIPMENT	Equipment
TARGET_BUTTON_WHISPER	Whispering	
TARGET_LEVEL_BOSS	Boss	
TARGET_LEVEL_KING	Level 5.	
TARGET_LEVEL_KNIGHT	Level 3.	
TARGET_LEVEL_PAWN	Level 1.	
TARGET_LEVEL_S_KNIGHT	Level 4.	
TARGET_LEVEL_S_PAWN	Level 2.	
TASKBAR_ATTACK	Attack	
TASKBAR_AUTO	Attack automatically
TASKBAR_CAMERA	Camera	
TASKBAR_EXP	Experience	
TASKBAR_HP	HP	
TASKBAR_MOVE	Move	
TASKBAR_SKILL	Skill	
TASKBAR_SP	SP	
TASKBAR_ST	ST	
THING_COUNT	all	
TOOLTIP_ANTI_CRITICAL_PCT	Resistance against critical hits +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistance against piercing hits +%d%%	SA
TOOLTIP_ANTI_SELL	Cannot be sold in the shop.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Strong against Animals +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Strong against Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Strong against Devils +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Strong against Half Humans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Strong against Mystics +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Strength against monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Strong against Orcs +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Strong against Shamans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Strong against Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Strong against Undead +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Strong against Warriorr +%d%%	SA
TOOLTIP_APPLY_BLOCK	Chance to block a close-combat attack %d%% 	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recover SP all 5 seconds in a Battle %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance of critical hit +%d%% 	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance to get back SP when hit	SA
TOOLTIP_APPLY_DODGE	Chance to avoid Arrows %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance for EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance to drop double Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune against falling down	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Defence against slowing	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Defence against blackouts	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance to drop double the Items	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance, to restore HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance to restore SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% chance to rob SP	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. SP +%d%% 	SA
TOOLTIP_APPLY_NOAFFECT	No effect	
TOOLTIP_APPLY_NO_DEATH_PENALTY	No experience points will be lost if your character is revived at the place of his death. 	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance for piercing Hits	SA
TOOLTIP_APPLY_POISON_PCT	Poisoning chance %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Poison Resistance %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Potion %d%% effect raise	SA
TOOLTIP_APPLY_REFLECT_CURSE	Chance to reflect Curse: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Chance to reflect close combat hits  	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Defence chance against ninja attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Bell Defence %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dagger Defence %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Fan Defence %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Defence chance against shaman attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Defence chance against sura attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Sword Defence %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Two-Handed Defence %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Defence chance against warrior attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Wind Resistance %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance to learn from books upgraded by factor 2.5 .	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	If learning fails you immediately have another try for free	SNA
TOOLTIP_APPLY_SLOW_PCT	Slowing chance %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% damage  will be absorbed by HP	SA
TOOLTIP_APPLY_STEAL_SP	%d%% damage will be absorbed by SP	SA
TOOLTIP_APPLY_STUN_PCT	Blackout chance %d%%	SA
TOOLTIP_ARMOR	Armor	
TOOLTIP_ARROW	Arrow	
TOOLTIP_ASSASSIN	Ninja	
TOOLTIP_ATT_GRADE	Attack Value +%d	SA
TOOLTIP_ATT_SPEED	Attack Speed +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Sun Elixir
TOOLTIP_AUTO_POTION_REST	Remainder: %.2f%%
TOOLTIP_AUTO_POTION_SP	Moon Elixir
TOOLTIP_AUTO_POTION_USING	Active
TOOLTIP_BOW_DISTANCE	Arc Range +%dm	SA
TOOLTIP_BUYPRICE	Price: %s	
TOOLTIP_CAST_SPEED	Casting Speed +%d%%	SA
TOOLTIP_CON	Vitality +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Costume bonus %d%% 	SA
TOOLTIP_DEF_GRADE	Defence +%d	SA
TOOLTIP_DEX	Dexterity +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Earth	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Sky	SNA
TOOLTIP_EAR	Earring	
TOOLTIP_ENERGY	Energy %d 	SA
TOOLTIP_ETC	And so on	
TOOLTIP_FISHINGROD_EXP	Points %d / %d	
TOOLTIP_FISHINGROD_LEVEL	Level: %d	
TOOLTIP_FISHINGROD_UPGRADE1	Give to the Fisherman
TOOLTIP_FISHINGROD_UPGRADE2	to get a better
TOOLTIP_FISHINGROD_UPGRADE3	Fishing Pole.
TOOLTIP_FISH_LEN	Lenght: %,2fcm	
TOOLTIP_HELMET	Helmet	
TOOLTIP_HP_REGEN	HP Regeneration +%d%%	SA
TOOLTIP_INT	Intelligence +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Attack Value %d	
TOOLTIP_ITEM_ATT_POWER	Attack Value %d - %d	
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Attack Value %d	
TOOLTIP_ITEM_ATT_POWER_REFINE	Attack Value %d - %d (+%d)	
TOOLTIP_ITEM_ATT_SPEED	Attacking Speed %s	
TOOLTIP_ITEM_DEF_GRADE	Defence %d	
TOOLTIP_ITEM_FAST	Fast	
TOOLTIP_ITEM_LIMIT_CON	Vitality Upper Limit: %d
TOOLTIP_ITEM_LIMIT_DEX	Dexterity Upper Limit: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligence Upper Limit: %d	
TOOLTIP_ITEM_LIMIT_LEVEL	From Level: %d	
TOOLTIP_ITEM_LIMIT_STR	Strenght Upper Limit: %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magical Attack Value %d - %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magical Attack Value %d	
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magical Defence %d	
TOOLTIP_ITEM_NORMAL	Normal	
TOOLTIP_ITEM_SLOW	Slow	
TOOLTIP_ITEM_VERY_FAST	Very fast	
TOOLTIP_ITEM_VERY_SLOW	Very slow	
TOOLTIP_ITEM_WEARABLE_JOB	[ Wearable ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Lucky Number: %d	
TOOLTIP_MAGIC_ATTBONUS_PER	Magic attack +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magical Attack Value +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magical Defence +%d	SA
TOOLTIP_MALL_ATTBONUS	Attack Value +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Attack Value +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	A hand that picks up dropped Yang automatically	SNA
TOOLTIP_MALL_DEFBONUS	Defence +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Defence +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Increases gaining EXP by 50%	SNA
TOOLTIP_MALL_FISH_MIND	Your chance of catching a rare fish is doubled.	SNA
TOOLTIP_MALL_GOLDBONUS	Chance of capturing Yang multiplied with %.1f	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Doubles your chance to capture Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Chance of capturing Items multiplied with %.1f	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance of capturing Items plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Doubles your chances of capturing items	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Lovepoints raise faster.	SNA
TOOLTIP_MALL_SAFEBOX	Your Storeroom gets 2 storage rooms	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Endurance +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magic/melee attack +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)	
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)	
TOOLTIP_MOV_SPEED	Moving Speed %d%%	SA
TOOLTIP_NECK	Necklace	
TOOLTIP_NEED_ALL_SP	Needed SP: Max.	
TOOLTIP_NEED_GSP	Needed Dragon ghost: %d
TOOLTIP_NEED_HP	Needed HP: %d	
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Needed Skill Points:	
TOOLTIP_NEED_SP	Needed SP: %d	
TOOLTIP_NEED_SP_PER_SEC	SP / Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Next Level: %d (Max. %d)	
TOOLTIP_NEXT_SKILL_LEVEL_2	Next Level: %d (Max. %d-%d)	
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Average Damage %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Average Damage Resistance %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	More than %d Group members	
TOOLTIP_PARTY_INFO_GRADE_UP2	Attack Level +%d	
TOOLTIP_PARTY_INFO_GRADE_UP3	Defence Level +%d	
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restore HP/SP of all Group members all 60 minutes.	
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restore HP/SP of all Group members all 30 minutes	
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	You have to wait 3 minutes after the death of a group member.	
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	You can call Group members who are on the same server anytime.	
TOOLTIP_PARTY_INFO_SET_ATTACKER	Attack Level +(Number of Group members./2) Attacker %d can be chosen.	
TOOLTIP_PARTY_INFO_SET_TANKER	Defence Level +(Number of Group members) blade fighters 1 can be chosen.	
TOOLTIP_PARTY_SKILL_LEVEL	Current Level: %d	
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attack/Defence upgraded]	
TOOLTIP_PARTY_TITLE_HEAL	[restore]	
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	When you have more than %d Group members you get %d%% Bonus EXP .	
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]	
TOOLTIP_PARTY_TITLE_RECALL	[Call]	
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Constitute Attacker]	
TOOLTIP_PARTY_TITLE_SET_TANKER	[Constitute Blade Fighter]	
TOOLTIP_PICK_EXP	Points: %d / %d	
TOOLTIP_PICK_LEVEL	Level: %d	
TOOLTIP_PICK_UPGRADE1	Give to the Lumberjack
TOOLTIP_PICK_UPGRADE2	to get a better
TOOLTIP_PICK_UPGRADE3	Pickaxe.
TOOLTIP_POTION_CURE	Cure negative effects.	
TOOLTIP_POTION_MIN	Min.	
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Attack speed +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Movement speed +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Sec.	
TOOLTIP_POTION_TIME	Duration:	
TOOLTIP_REQUIREMENT_21_LEVEL	You must have reached Level 21.	
TOOLTIP_REQUIREMENT_41_LEVEL	You must have reached Level 41.	
TOOLTIP_REQUIREMENT_LEVEL	You must have reached Level %d.	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d needed.	
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d needed	
TOOLTIP_RESIST_BOW	Arrow Resistance %d%%	SA
TOOLTIP_RESIST_DARK	Resistance against darkness +%d%%	SA
TOOLTIP_RESIST_EARTH	Earth resistance +%d%%	SA
TOOLTIP_RESIST_ELEC	Lightning Resistance %d%%	SA
TOOLTIP_RESIST_FIRE	Fire Resistance %d%%	SA
TOOLTIP_RESIST_ICE	Ice resistance +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magic Resistance %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Left: %d	
TOOLTIP_SEALED	
TOOLTIP_SELLPRICE	Price: %s	
TOOLTIP_SHAMAN	Shaman	
TOOLTIP_SHIELD	Shield	
TOOLTIP_SHOES	Shoes	
TOOLTIP_SKILL	Skills	SNA
TOOLTIP_SKILLBOOK_NAME	Skill Book	
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Attack Value: +	
TOOLTIP_SKILL_AFFECT_ATT_POWER	Attack Value:	
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Attack Speed: +	
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defence:	
TOOLTIP_SKILL_AFFECT_DODGE	Opponent Attack Value: -	
TOOLTIP_SKILL_AFFECT_HEAL	Restore HP:	
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Moving Speed: +	
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance to reflect close combat attack:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistance against Body Damage:	
TOOLTIP_SKILL_COOL_TIME	Recharge: 
TOOLTIP_SKILL_DAMAGE_BONUS	Skill Damage %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistance against Skill Damage %d%%	SA
TOOLTIP_SKILL_DURATION	Duration: %d Sek.	
TOOLTIP_SKILL_FORGET_BOOK_NAME	Band of Oblivion	
TOOLTIP_SKILL_LEVEL	Current Level: %d	
TOOLTIP_SKILL_LEVEL_MASTER	Current Level: %d (Master)	
TOOLTIP_SKILL_LEVEL_WITH_MAX	Current Level: %d (Max. %d)	
TOOLTIP_SOCKET_EMPTY	Empty	
TOOLTIP_SOCKET_REFINABLE_ITEM	[Item with Socket]	
TOOLTIP_SP_REGEN	SP Regeneration +%d%%	SA
TOOLTIP_STR	Strength +%d	SA
TOOLTIP_SURA	Sura	
TOOLTIP_TIME_CHARGER_FIX	Time charging %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Time charging %d%%	SA
TOOLTIP_UNIQUE	Unique	
TOOLTIP_UNSEAL_LEFT_TIME	
TOOLTIP_WARRIOR	Warrior	
TOOLTIP_WEAPON	Weapon	
TOOLTIP_WRISTLET	Wristlet	
UI_ACCEPT	Accept	
UI_CANCEL	Cancel	
UI_CLOSE	Close	
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Decline	
UI_ITEM	Item	
UI_LEFT_TIME	Remaining Time: %d Sec.	
UI_NEXT	Continue	
UI_NEXTPAGE	Next
UI_NOCONTENTS	No Content	
UI_NONAME	No Name	
UI_OK	OK	
UI_POS_UNKNOWN	Unknown Place	
UI_PREVPAGE	Back
UI_UNKNOWN	Unknown	
UPLOAD_MARK_CHECK_NEED_RECONNECT	The upload has to be started again.	
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	The upload has to be started again.	
USE_ITEM_FAILURE_PRIVATE_SHOP	You cannot use items while you have a private shop open.
USE_SKILL_ERROR_UNKNOWN	Unknown Skill Error: %s	
DROP_ITEM_FAILURE_OFFLINE_SHOP	You cannot drop any items as long as a offline shop is open.
MOVE_ITEM_FAILURE_OFFLINE_SHOP	You cannot move items while you have a offline shop open.
OFFLINE_SHOP_CANNOT_SELL_ITEM	You cannot sell this item in a offline shop.
USE_ITEM_FAILURE_OFFLINE_SHOP	You cannot use items while you have a offline shop open.
